Title,Link,Rating,Description,Genre,Duration (hrs)
Paths of Glory,https://www.imdb.com/title/tt0050825/,8.4,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.","Drama, War",1h 28m
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Animation, Action, Adventure",1h 57m
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime, Drama, Mystery",1h 56m
The Shining,https://www.imdb.com/title/tt0081505/,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama, Horror",2h 26m
The Great Dictator,https://www.imdb.com/title/tt0032553/,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,"Comedy, Drama, War",2h 5m
Aliens,https://www.imdb.com/title/tt0090605/,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action, Adventure, Sci-Fi",2h 17m
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.","Adventure, Drama, War",2h 33m
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,8.4,"Eight years after the Joker&apos;s reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","Action, Drama, Thriller",2h 44m
Coco,https://www.imdb.com/title/tt2380307/,8.4,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation, Adventure, Drama",1h 45m
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,8.3,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy, War",1h 35m
Oldeuboi,https://www.imdb.com/title/tt0364569/,8.3,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","Action, Drama, Mystery",2h 0m
Amadeus,https://www.imdb.com/title/tt0086879/,8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.","Biography, Drama, Music",2h 40m
American Beauty,https://www.imdb.com/title/tt0169547/,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,Drama,2h 2m
